Username,CourseName,InteractionType,Timestamp,Value
jonathanfisher,Cooking Essentials,enroll,2024-12-06 03:45:32,
jonathanfisher,Cooking Essentials,rating,2024-12-06 03:45:32,2.0
jonathanfisher,Statistics for Data Science,view,2024-12-06 03:45:32,
jonathanfisher,Statistics for Data Science,rating,2024-12-06 03:45:32,4.0
jonathanfisher,Finance Fundamentals,complete,2024-12-06 03:45:32,
jonathanfisher,Finance Fundamentals,rating,2024-12-06 03:45:32,5.0
jonathanfisher,Data Science 101,enroll,2024-12-06 03:45:32,
jonathanfisher,Data Science 101,rating,2024-12-06 03:45:32,2.0
christinewood,Digital Marketing Basics,enroll,2024-12-06 03:45:32,
christinewood,Digital Marketing Basics,rating,2024-12-06 03:45:32,2.0
christinewood,AI for Beginners,enroll,2024-12-06 03:45:32,
christinewood,AI for Beginners,rating,2024-12-06 03:45:32,2.0
christinewood,SEO Strategies,complete,2024-12-06 03:45:32,
christinewood,SEO Strategies,rating,2024-12-06 03:45:32,5.0
christinewood,History of Art,complete,2024-12-06 03:45:32,
christinewood,History of Art,rating,2024-12-06 03:45:32,5.0
christinewood,Statistics for Data Science,view,2024-12-06 03:45:32,
christinewood,Statistics for Data Science,rating,2024-12-06 03:45:32,2.0
joshuahunt,Digital Marketing Basics,enroll,2024-12-06 03:45:32,
joshuahunt,Digital Marketing Basics,rating,2024-12-06 03:45:32,2.0
joshuahunt,Quantum Computing 101,complete,2024-12-06 03:45:32,
joshuahunt,Quantum Computing 101,rating,2024-12-06 03:45:32,3.0
joshuahunt,Finance Fundamentals,complete,2024-12-06 03:45:32,
joshuahunt,Finance Fundamentals,rating,2024-12-06 03:45:32,2.0
joshuahunt,Fitness and Wellness,enroll,2024-12-06 03:45:32,
joshuahunt,Fitness and Wellness,rating,2024-12-06 03:45:32,4.0
joshuahunt,History of Art,complete,2024-12-06 03:45:32,
joshuahunt,History of Art,rating,2024-12-06 03:45:32,3.0
hmartin,Project Management,complete,2024-12-06 03:45:32,
hmartin,Project Management,rating,2024-12-06 03:45:32,1.0
hmartin,AI for Beginners,view,2024-12-06 03:45:32,
hmartin,AI for Beginners,rating,2024-12-06 03:45:32,1.0
sosadebbie,Ethical Hacking,view,2024-12-06 03:45:32,
sosadebbie,Ethical Hacking,rating,2024-12-06 03:45:32,5.0
sosadebbie,History of Art,view,2024-12-06 03:45:32,
sosadebbie,History of Art,rating,2024-12-06 03:45:32,4.0
sosadebbie,Cooking Essentials,view,2024-12-06 03:45:32,
sosadebbie,Cooking Essentials,rating,2024-12-06 03:45:32,5.0
thomasnicole,Advanced Java,enroll,2024-12-06 03:45:32,
thomasnicole,Advanced Java,rating,2024-12-06 03:45:32,5.0
thomasnicole,Cooking Essentials,view,2024-12-06 03:45:32,
thomasnicole,Cooking Essentials,rating,2024-12-06 03:45:32,3.0
thomasnicole,Graphic Design Fundamentals,enroll,2024-12-06 03:45:32,
thomasnicole,Graphic Design Fundamentals,rating,2024-12-06 03:45:32,3.0
thomasnicole,Ethical Hacking,view,2024-12-06 03:45:32,
thomasnicole,Ethical Hacking,rating,2024-12-06 03:45:32,1.0
joseph05,Project Management,enroll,2024-12-06 03:45:32,
joseph05,Project Management,rating,2024-12-06 03:45:32,4.0
joseph05,Intro to Python,view,2024-12-06 03:45:32,
joseph05,Intro to Python,rating,2024-12-06 03:45:32,5.0
sbowman,Creative Writing,complete,2024-12-06 03:45:32,
sbowman,Creative Writing,rating,2024-12-06 03:45:32,3.0
sbowman,Intro to Python,view,2024-12-06 03:45:32,
sbowman,Intro to Python,rating,2024-12-06 03:45:32,4.0
kimberlyfisher,Data Science 101,enroll,2024-12-06 03:45:32,
kimberlyfisher,Data Science 101,rating,2024-12-06 03:45:32,1.0
kimberlyfisher,AI for Beginners,complete,2024-12-06 03:45:32,
kimberlyfisher,AI for Beginners,rating,2024-12-06 03:45:32,1.0
kimberlyfisher,Intro to Python,enroll,2024-12-06 03:45:32,
kimberlyfisher,Intro to Python,rating,2024-12-06 03:45:32,2.0
kimberlyfisher,UX Design Basics,view,2024-12-06 03:45:32,
kimberlyfisher,UX Design Basics,rating,2024-12-06 03:45:32,5.0
kimberlyfisher,Machine Learning,view,2024-12-06 03:45:32,
kimberlyfisher,Machine Learning,rating,2024-12-06 03:45:32,4.0
fraziercatherine,Cooking Essentials,enroll,2024-12-06 03:45:32,
fraziercatherine,Cooking Essentials,rating,2024-12-06 03:45:32,2.0
fraziercatherine,Quantum Computing 101,complete,2024-12-06 03:45:32,
fraziercatherine,Quantum Computing 101,rating,2024-12-06 03:45:32,1.0
frice,UX Design Basics,view,2024-12-06 03:45:32,
frice,UX Design Basics,rating,2024-12-06 03:45:32,5.0
frice,Photography Basics,enroll,2024-12-06 03:45:32,
frice,Photography Basics,rating,2024-12-06 03:45:32,4.0
frice,Creative Writing,view,2024-12-06 03:45:32,
frice,Creative Writing,rating,2024-12-06 03:45:32,1.0
ostevens,AI for Beginners,view,2024-12-06 03:45:32,
ostevens,AI for Beginners,rating,2024-12-06 03:45:32,1.0
ostevens,Public Speaking,view,2024-12-06 03:45:32,
ostevens,Public Speaking,rating,2024-12-06 03:45:32,5.0
ostevens,Advanced Java,complete,2024-12-06 03:45:32,
ostevens,Advanced Java,rating,2024-12-06 03:45:32,3.0
ostevens,Graphic Design Fundamentals,complete,2024-12-06 03:45:32,
ostevens,Graphic Design Fundamentals,rating,2024-12-06 03:45:32,5.0
lisa80,Quantum Computing 101,complete,2024-12-06 03:45:32,
lisa80,Quantum Computing 101,rating,2024-12-06 03:45:32,1.0
lisa80,Web Development Bootcamp,enroll,2024-12-06 03:45:32,
lisa80,Web Development Bootcamp,rating,2024-12-06 03:45:32,1.0
lisa80,Machine Learning,complete,2024-12-06 03:45:32,
